KIC,d_est,d_lo,d_hi,E(B-V),A_r,A_J,A_K,r,J,K
12204358,171.8690555,170.3340614,173.4314644,0.01641887,0.04076805,0.01067226,0.00264344,16.607,13.528,12.679
12302994,161.8814111,160.5465946,163.2382071,0.02212749,0.05494257,0.01438287,0.00356253,16.457,13.086,12.186
12306639,209.3926061,203.2936861,215.8618408,0.01573562,0.03907154,0.01022815,0.00253343,18.64,15.255,14.448
12351607,187.3887472,185.5233444,189.2913603,0.01979747,0.04915711,0.01286835,0.00318739,16.67,13.545,12.682
12505701,166.6413579,165.2224508,168.0844048,0.01470012,0.03650041,0.00955508,0.00236672,16.381,12.944,12.041
12506640,97.78925463,97.397369,98.18425004,0.01205761,0.02993905,0.00783745,0.00194128,15.489,12.349,11.586
12644136,43.99837559,43.91804752,44.07899281,0.00304732,0.00756650,0.00198076,0.00049062,15.666,11.701,10.858
12688403,110.7818149,110.0221969,111.5518055,0.00968985,0.02405989,0.00629840,0.00156007,15.671,12.323,11.465
12689068,170.2444032,168.7383567,171.7770876,0.01405124,0.03488922,0.00913330,0.00226225,16.93,13.646,12.807
12735296,248.3932934,218.1177242,288.2907665,0.02073616,0.05148789,0.01347850,0.00333852,16.497,13.285,12.435
