KIC,d_est,d_lo,d_hi,E(B-V),A_r,A_J,A_K,r,J,K
9654304,288.5589809,281.7204,295.7315858,0.03453629,0.08575362,0.02244859,0.00556034,17.928,14.45,13.612
9655322,720.4554048,657.5397839,796.4142134,0.05579313,0.13853435,0.03626553,0.00898269,19.534,15.764,14.965
9655551,361.0873739,332.183793,395.402905,0.03900214,0.09684232,0.02535139,0.00627935,19.301,15.556,14.715
9655667,290.4767954,276.1876646,306.2969109,0.03167954,0.0786603,0.0205917,0.00510041,19.234,15.574,14.68
9659082,68.70256211,68.4052353,69.00243853,0.00287813,0.0071464,0.00187078,0.00046338,15.072,11.822,10.916
9710717,256.8150382,252.0600852,261.749503,0.01492248,0.03705251,0.00969961,0.00240252,17.155,14.099,13.25
9711491,70.30333589,70.0137838,70.59524996,0.00295579,0.00733922,0.00192126,0.00047588,16.14,12.891,12.156
9754582,151.5781594,150.0616445,153.1250807,0.01576834,0.03915279,0.01024942,0.0025387,17.264,13.884,13.038
9784820,145.8633473,144.3608683,147.3968606,0.01842492,0.04574909,0.0119762,0.00296641,17.051,13.644,12.769
9817857,80.39946874,79.96191961,80.84174658,0.00401384,0.00996637,0.002609,0.00064623,17.122,13.258,12.352
9826844,179.8774414,178.6209486,181.1514174,0.01328704,0.03299173,0.00863658,0.00213921,16.129,12.897,12.019
9837302,382.2836048,366.7520582,399.1632256,0.03642117,0.09043376,0.02367376,0.00586381,18.329,15.011,14.151
9912373,309.3614497,302.0110456,317.0718601,0.1462971,0.36325571,0.09509311,0.02355383,17.656,14.016,13.117
9933524,175.960508,173.4502524,178.5431529,0.01172554,0.02911452,0.0076216,0.00188781,18.355,14.249,13.31
9942231,205.7181733,202.5638058,208.9705227,0.01574048,0.03908361,0.01023131,0.00253422,17.505,13.608,12.827
10004407,112.7837779,112.3339716,113.2371364,0.00645575,0.01602964,0.00419624,0.00103938,15.976,12.891,12.047
10057939,98.99693207,98.5836431,99.41363873,0.00544863,0.01352896,0.00354161,0.00087723,16.588,12.894,12.118
10118794,95.84352754,94.42723364,97.30217195,0.00548133,0.01361014,0.00356286,0.00088249,19.81,14.523,13.609
10158029,168.7947485,159.7304132,178.9305456,0.01637113,0.04064952,0.01064123,0.00263575,16.245,12.973,12.148
10267155,187.3995879,185.3839649,189.4587233,0.01374032,0.03411721,0.00893121,0.00221219,17.265,13.744,12.938
10273058,99.97174893,99.52179744,100.4257144,0.00506359,0.01257289,0.00329133,0.00081524,15.983,12.762,11.989
10274090,137.2705288,136.4446602,138.1062756,0.01630114,0.04047573,0.01059574,0.00262448,15.835,12.599,11.807
10320084,111.8096457,111.1306534,112.4968365,0.00954069,0.02368953,0.00620145,0.00153605,16.926,13.708,12.945
10322878,68.53537466,68.24283246,68.83039079,0.00345,0.00856634,0.0022425,0.00055545,16.438,12.561,11.711
10339105,43.32780543,42.68959335,43.98503895,0.00124293,0.00308619,0.0008079,0.00020011,13.996,10.467,9.627
10345684,151.9637517,149.7646816,154.2271765,0.0188333,0.04676309,0.01224165,0.00303216,18.316,14.436,13.522
10456779,292.7838589,287.7649265,297.9777199,0.02051719,0.05094419,0.01333617,0.00330327,17.325,14.144,13.295
10522057,214.9710432,212.5188627,217.4794394,0.02018032,0.05010773,0.01311721,0.00324903,16.344,13.012,12.156
10557342,111.4111245,110.9109035,111.915797,0.01328491,0.03298642,0.00863519,0.00213887,15.863,12.621,11.835
10598142,106.1697627,105.8311555,106.5105049,0.01253502,0.03112445,0.00814776,0.00201814,15.565,12.33,11.525
10649277,83.46792937,80.59223527,86.55255501,0.0112097,0.02783369,0.00728631,0.00180476,17.095,12.867,12.032
10651319,281.6386234,276.7859421,286.6613391,0.01716417,0.04261863,0.01115671,0.00276343,17.213,14.01,13.164
10659335,202.9744885,200.8567213,205.1365753,0.01252882,0.03110905,0.00814373,0.00201714,16.916,13.691,12.907
10784750,199.0506329,197.3757221,200.7536976,0.02171538,0.05391929,0.014115,0.00349618,16.515,13.23,12.307
10819154,134.9562806,133.8717566,136.0582017,0.02170818,0.05390142,0.01411032,0.00349502,17.191,13.666,12.862
10877432,48.96778829,48.8974699,49.03830562,0.00469533,0.0116585,0.00305196,0.00075595,14.949,11.39,10.662
10905192,113.5305224,112.509197,114.5702236,0.007608,0.01889066,0.0049452,0.00122489,17.348,13.579,12.763
10907400,99.37583108,98.98397492,99.77074653,0.00694581,0.01724645,0.00451478,0.00111828,15.4,12.164,11.335
10911018,30.42849605,30.39178594,30.46529337,0.000897,0.00222726,0.00058305,0.00014442,14.999,10.766,9.882
10924100,314.6134504,296.6325325,334.8725739,0.02824065,0.07012153,0.01835642,0.00454674,17.254,13.929,13.101
10932417,97.8376897,97.08357046,98.60340421,0.00697882,0.01732842,0.00453624,0.00112359,15.46,12.134,11.342
10963537,92.83246533,92.00476452,93.67492341,0.00619255,0.01537611,0.00402516,0.000997,17.759,14.208,13.414
10991155,244.4743644,241.2497533,247.7847637,0.02163112,0.05371006,0.01406023,0.00348261,15.793,12.388,11.506
11025770,109.7529201,109.1773784,110.3344529,0.00940468,0.02335183,0.00611304,0.00151415,15.059,11.794,10.912
11027877,132.8386432,132.0846996,133.6010882,0.00730767,0.01814494,0.00474998,0.00117653,16.278,13.077,12.278
11175934,144.055884,142.4737889,145.6728689,0.01068995,0.02654314,0.00694847,0.00172108,18.095,14.196,13.416
11196417,231.2322433,228.1791204,234.3666783,0.01985718,0.04930537,0.01290716,0.00319701,15.936,12.193,11.354
11237082,144.0700222,142.6810223,145.4858398,0.00927904,0.02303985,0.00603137,0.00149392,17.035,13.791,12.935
11251839,132.8469981,132.216755,133.4831705,0.00639383,0.01587589,0.00415599,0.00102941,15.829,12.409,11.597
11293949,51.6807127,51.56979136,51.79210373,0.00282994,0.00702673,0.00183946,0.00045562,15.468,11.341,10.491
11295657,187.9691397,185.5610793,190.4393753,0.01798698,0.04466168,0.01169154,0.0028959,17.53,14.505,13.694
11389346,317.0779386,310.1936094,324.269039,0.02267033,0.05629044,0.01473572,0.00364992,17.499,13.961,13.141
11400756,60.03764345,59.84211773,60.23442821,0.00178888,0.00444179,0.00116277,0.00028801,15.543,12.303,11.446
11442458,85.4385805,85.12657167,85.75284395,0.00668337,0.0165948,0.00434419,0.00107602,16.081,12.788,11.926
11456603,157.8326364,156.368989,159.3234448,0.01029984,0.0255745,0.00669489,0.00165827,16.204,12.888,12.103
11503101,134.8496245,132.7904561,136.9724844,0.01268589,0.03149907,0.00824583,0.00204243,16.367,12.999,12.205
11548779,192.3489746,190.3797965,194.358572,0.01074952,0.02669105,0.00698719,0.00173067,16.616,13.436,12.595
11550104,97.10377687,95.77717906,98.4669653,0.00618937,0.01536821,0.00402309,0.00099649,20.27,14.961,14.008
11558721,173.5282295,172.5003928,174.5681677,0.00950606,0.02360356,0.00617894,0.00153048,15.782,12.576,11.773
11597669,58.28405543,58.09998711,58.46927291,0.00291902,0.00724792,0.00189736,0.00046996,16.725,12.704,11.894
11612157,183.8195036,179.8052661,188.0137223,0.02084204,0.05175078,0.01354732,0.00335557,16.301,13.064,12.234
11612159,190.3138451,187.9383323,192.7490785,0.021836,0.05421879,0.0141934,0.0035156,17.09,13.836,12.994
11652732,107.877051,107.392545,108.3658701,0.01004336,0.02493767,0.00652819,0.00161698,16.174,12.967,12.167
11654120,101.4965994,99.10157911,104.0080835,0.00451322,0.01120634,0.0029336,0.00072663,19.62,15.043,14.115
11709022,64.30242757,60.71970402,68.32664993,0.00261796,0.0065004,0.00170168,0.00042149,12.82,9.456,8.676
11855853,219.8650438,216.7032103,223.1188102,0.01956737,0.04858578,0.01271879,0.00315035,17.368,14.067,13.257
11862609,159.1171356,157.1225723,161.1620613,0.01328256,0.03298059,0.00863366,0.00213849,17.84,14.217,13.37
12071873,217.5400627,215.2710337,219.8565619,0.01495891,0.03714297,0.00972329,0.00240838,16.035,12.814,11.954
12101934,141.8934156,140.8449087,142.9573683,0.00805621,0.02000358,0.00523654,0.00129705,16.93,13.523,12.792
12102994,301.489452,296.314416,306.8451044,0.01799414,0.04467944,0.01169619,0.00289706,17.111,14.026,13.154
12117672,121.7125843,120.4297152,123.0225807,0.01090899,0.02708702,0.00709084,0.00175635,18.014,14.412,13.581
12156321,162.9017509,161.6488634,164.1738599,0.0108488,0.02693756,0.00705172,0.00174666,16.337,13.112,12.284
12168731,249.0943652,242.8497702,255.6625333,0.02302965,0.05718262,0.01496927,0.00370777,18.468,15.016,14.165
12305237,80.20147077,79.9966887,80.40728525,0.0055335,0.01373967,0.00359677,0.00089089,15.151,11.987,11.082
12508767,75.95519019,75.74644826,76.16506525,0.00772003,0.01916884,0.00501802,0.00124292,15.216,11.977,11.166
12645891,199.4835712,195.8893488,203.2097052,0.01300816,0.03229925,0.0084553,0.00209431,17.989,14.318,13.638
12735831,68.3076668,68.08016789,68.53666404,0.00545612,0.01354755,0.00354648,0.00087844,16.321,12.94,12.163
12784248,79.89426061,79.24244722,80.5566917,0.00827789,0.020554,0.00538063,0.00133274,18.788,14.281,13.403
12884812,126.623999,125.623639,127.6401303,0.01088632,0.02703074,0.00707611,0.0017527,16.742,13.406,12.527
